Expense_ID,Department,Category,Vendor,Amount_INR,Budget_Allocated_INR,Variance_INR,Expense_Date,Approval_Status,Payment_Mode,Fiscal_Year,Remarks
EXP-00594,,Cloud Infrastructure,Slack,209189,170793.17,38395.83,2023-07-19,Pending,Vendor Credit,FY2023-2024,Under review
EXP-00495,Operations,Utilities,HubSpot,6214,7523.05,-1309.05,2023-10-10,Approved,Bank Transfer,FY2023-2024,Recurring
EXP-00587,Sales,Marketing Spend,SAP,499533,550589.56,-51056.56,2024-01-19,Approved,Bank Transfer,FY2023-2024,Recurring
EXP-00178,Finance,Utilities,Infosys,403234,426617.54,-23383.54,16/03/2025,Approved,Bank Transfer,FY2024-2025,
EXP-00869,,Cloud Infrastructure,TCS,187461,156297.94,31163.06,2023-02-06,Approved,Credit Card,FY2022-2023,
EXP-00674,Sales,Hardware,TCS,352393,449410.33,-97017.33,2024-03-14,Approved,Bank Transfer,FY2023-2024,
EXP-00181,Engineering,Hardware,Slack,361946,354476.37,7469.63,14/08/2023,Pending,Vendor Credit,FY2023-2024,Urgent
EXP-00277,Support,Office Supplies,Wipro,398503,438557.67,-40054.67,2023-08-07,Approved,Credit Card,FY2023-2024,
EXP-00515,Support,Consulting Fees,Oracle,345565,382355.25,-36790.25,2024-05-25,Approved,Vendor Credit,FY2024-2025,Duplicate entry
EXP-00339,Engineering,Hardware,HubSpot,441930,426169.24,15760.76,2025-03-24,Approved,Credit Card,FY2024-2025,Under review
EXP-00555,,Office Supplies,SAP,304214,345611.18,-41397.18,2025-02-01,Approved,Bank Transfer,FY2024-2025,Recurring
EXP-00803,Support,Travel,Freshdesk,65791,59739.7,6051.3,2024-02-24,Approved,Petty Cash,FY2023-2024,Under review
EXP-00875,Engineering,Software Licenses,Google Cloud,49237,,7036.11,2024-06-14,Pending,Petty Cash,FY2024-2025,Duplicate entry
EXP-00691,HR,Office Supplies,TCS,365283,359381.54,5901.46,2024-12-19,Approved,Credit Card,FY2024-2025,
EXP-00233,HR,Consulting Fees,Google Cloud,201346,197464.53,,2025-03-03,Pending,Bank Transfer,FY2024-2025,Under review
EXP-00071,Sales,Hardware,HubSpot,375484,303740.88,71743.12,2024-06-11,Pending,Bank Transfer,FY2024-2025,One-time
EXP-00860,Operations,Cloud Infrastructure,Wipro,91274,117271.6,-25997.6,2024-03-16,Approved,Petty Cash,FY2023-2024,
EXP-00607,Finance,Hardware,Jira,58546,54790.73,3755.27,2024-02-02,Approved,Petty Cash,FY2023-2024,Under review
EXP-00651,,Marketing Spend,SAP,10904,13676.8,-2772.8,16/02/2023,Approved,Vendor Credit,FY2022-2023,Duplicate entry
EXP-00652,Operations,Utilities,AWS,65481,81303.61,-15822.61,2023-02-05,Pending,Vendor Credit,FY2022-2023,Duplicate entry
EXP-00369,Marketing,Marketing Spend,HubSpot,66000,78840.27,-12840.27,2024-02-19,Approved,Credit Card,FY2023-2024,Under review
EXP-00721,Finance,Office Supplies,Slack,32147,36235.03,-4088.03,2023-11-17,Approved,Credit Card,FY2023-2024,
EXP-00390,,Consulting Fees,Wipro,312310,339411.41,-27101.41,2023-12-10,Pending,Bank Transfer,FY2023-2024,Duplicate entry
EXP-00520,HR,Utilities,Infosys,145866,176369.11,-30503.11,2024-10-24,Approved,Petty Cash,FY2024-2025,Recurring
