Client_ID,Company_Name,Industry,Contract_Type,Region,City,Onboarding_Date,Satisfaction_Score,Tenure_Years,Annual_Contract_Value,Account_Status
CLI-0113,CloudNine Enterprises,Healthcare,Managed Services,South,Hyderabad,2021-03-26,3.2,4,75000,Active
CLI-0047,DigitalForge Services,Government,Managed Services,East,Kolkata,2023-09-02,3.1,1.6,100000,Active
CLI-0083,OmniSoft Digital,Media,Annual License,East,Kolkata,2020-01-05,4.4,5.2,300000,Active
CLI-0111,CloudNine Enterprises,Banking,Monthly SaaS,West,Ahmedabad,2022-08-02,4.9,2.7,75000,Active
CLI-0199,GreenPulse Technologies,Banking,Monthly SaaS,West,Ahmedabad,2021-12-08,4.3,3.3,75000,Active
CLI-0213,SwiftCode Solutions,Logistics,Monthly SaaS,West,Surat,2020-12-05,3.8,4.3,500000,Active
CLI-0042,NovaTech Group,EdTech,Annual License,West,Surat,2019-08-05,3.4,5.7,750000,Churned
CLI-0217,BlueOrbit Systems,EdTech,Multi-Year,East,Kolkata,2019-02-14,4.3,6.1,100000,Churned
CLI-0070,SilverEdge Labs,Media,Monthly SaaS,North,Lucknow,2019-01-29,2.8,6.2,300000,Active
CLI-0115,DataWeave Corp,Healthcare,Managed Services,East,Patna,2023-10-10,4.3,1.5,100000,Churned
CLI-0264,BrightPath Technologies,Insurance,Project-Based,South,Kochi,2019-01-09,2.6,6.2,500000,Churned
CLI-0219,OmniSoft Corp,Manufacturing,Managed Services,South,Kochi,2020-09-20,3.2,4.5,100000,Churned
CLI-0269,SwiftCode Infotech,Media,Project-Based,South,Hyderabad,2022-11-20,4.8,2.4,500000,Active
CLI-0152,NovaTech Enterprises,EdTech,Annual License,South,Bangalore,2020-07-03,4,4.7,50000,At Risk
CLI-0150,GreenPulse Solutions,Media,Managed Services,South,Kochi,2022-02-12,4.9,3.1,500000,Churned
CLI-0078,InfraMax Technologies,Insurance,Project-Based,North,Delhi,2020-10-21,2.7,4.4,200000,Active
CLI-0297,InfraMax Systems,Telecom,Project-Based,South,Bangalore,2020-08-03,3.9,4.7,200000,Active
CLI-0107,DataWeave Systems,Banking,Monthly SaaS,East,Bhubaneswar,2023-08-28,3.7,1.6,750000,Active
CLI-0195,Apex Corp,Unspecified,Multi-Year,West,Surat,2021-01-18,2.9,4.2,750000,At Risk
CLI-0168,SilverEdge Enterprises,Government,Managed Services,South,Kochi,2019-08-08,2.5,5.6,500000,Active
CLI-0097,BlueOrbit Corp,Insurance,Multi-Year,South,Chennai,2019-11-14,4.6,5.4,75000,Active
CLI-0183,InfraMax Technologies,Manufacturing,Monthly SaaS,North,Lucknow,2020-06-22,4.5,4.8,750000,At Risk
CLI-0242,CloudNine Group,Telecom,Multi-Year,South,Hyderabad,2019-07-19,4.4,5.7,1000000,Churned
CLI-0176,CrestLine Group,Unspecified,Monthly SaaS,West,Surat,2020-04-19,4.1,4.9,100000,Active
CLI-0012,OmniSoft Labs,Manufacturing,Managed Services,South,Hyderabad,2021-03-28,4.1,4,750000,At Risk
CLI-0160,SilverEdge Services,Healthcare,Annual License,North,Lucknow,2021-02-15,3.7,4.1,50000,Churned
CLI-0286,BrightPath Infotech,Banking,Managed Services,East,Guwahati,2022-09-01,3.4,2.6,150000,At Risk
CLI-0244,BlueOrbit Group,Healthcare,Project-Based,East,Guwahati,2019-04-21,2.9,5.9,150000,Active
CLI-0080,NetDynamic Labs,Logistics,Annual License,East,Guwahati,2020-10-02,3.4,4.5,100000,Active
CLI-0077,CloudNine Group,Government,Annual License,West,Pune,2024-04-20,4.3,0.9,1000000,Active
CLI-0236,NetDynamic Group,Logistics,Annual License,North,Chandigarh,2021-02-01,3.6,4.2,750000,Active
CLI-0099,OmniSoft Services,Insurance,Multi-Year,South,Hyderabad,2024-05-31,3.7,0.8,150000,Active
CLI-0198,CoreLogic Systems,Healthcare,Annual License,South,Bangalore,2019-12-02,3.4,5.3,1000000,Churned
CLI-0117,InfraMax Digital,Healthcare,Multi-Year,East,Kolkata,2021-07-10,3.8,3.7,100000,At Risk
CLI-0243,CloudNine Infotech,Telecom,Project-Based,East,Patna,2020-06-17,3.7,4.8,75000,Active
CLI-0015,Pinnacle Solutions,Logistics,Monthly SaaS,North,Chandigarh,2020-01-28,3.6,5.2,500000,Active
CLI-0218,TechVista Digital,Healthcare,Monthly SaaS,East,Patna,2019-10-07,4.3,5.5,500000,Churned
CLI-0171,NovaTech Labs,Insurance,Multi-Year,East,Bhubaneswar,2020-06-01,4.3,4.8,500000,Active
CLI-0270,GreenPulse Infotech,Government,Project-Based,South,Hyderabad,2023-03-27,4.3,2,150000,Churned
CLI-0005,CrestLine Corp,EdTech,Multi-Year,East,Kolkata,2022-06-01,3.8,2.8,150000,Active
CLI-0066,BrightPath Services,Logistics,Monthly SaaS,West,Ahmedabad,2020-02-12,4.6,5.1,75000,Active
CLI-0278,TechVista Technologies,Media,Annual License,North,Delhi,2022-12-06,3.4,2.3,1000000,Active
CLI-0190,CloudNine Systems,Banking,Project-Based,East,Bhubaneswar,2021-05-29,4.3,3.8,50000,Active
CLI-0075,SwiftCode Infotech,Government,Multi-Year,South,Hyderabad,2023-05-05,4.8,1.9,50000,Active
CLI-0027,Apex Technologies,Telecom,Multi-Year,East,Kolkata,2019-08-11,3.4,5.6,300000,Active
CLI-0022,GreenPulse Group,Insurance,Monthly SaaS,North,Delhi,2022-07-23,3.2,2.7,50000,Active
CLI-0079,CoreLogic Enterprises,Media,Managed Services,West,Mumbai,2023-06-13,4.6,1.8,1000000,Churned
CLI-0184,CloudNine Digital,Logistics,Multi-Year,South,Chennai,2023-07-25,2.6,1.7,300000,Active
CLI-0010,SafeHaven Digital,Manufacturing,Multi-Year,East,Bhubaneswar,2022-01-09,4.8,3.2,50000,Active
CLI-0130,Apex Enterprises,EdTech,Project-Based,South,Kochi,2022-11-15,3.8,2.4,750000,At Risk
CLI-0164,SilverEdge Corp,Media,Project-Based,West,Pune,2022-10-24,3.5,2.4,200000,Churned
CLI-0274,Apex Technologies,EdTech,Project-Based,South,Chennai,2024-05-17,,0.9,300000,Active
CLI-0271,CrestLine Systems,Media,Annual License,West,Mumbai,2021-05-27,3.2,3.8,100000,Active
CLI-0025,InfraMax Solutions,Retail,Monthly SaaS,West,Pune,2020-06-30,4.3,4.8,500000,At Risk
CLI-0041,BrightPath Labs,Logistics,Multi-Year,North,Chandigarh,2019-07-28,3.3,5.7,75000,Churned
CLI-0029,InfraMax Corp,Logistics,Monthly SaaS,South,Unspecified,2021-05-11,3.4,3.9,100000,Active
CLI-0136,CoreLogic Corp,Telecom,Annual License,North,Chandigarh,2021-12-31,4.6,3.2,50000,At Risk
CLI-0050,InfraMax Services,Government,Managed Services,North,Delhi,2024-04-24,4.1,0.9,200000,Active
CLI-0032,TechVista Infotech,Retail,Annual License,North,Lucknow,2020-03-24,4.9,5,1000000,Active
CLI-0161,Pinnacle Group,Banking,Multi-Year,South,Kochi,2020-07-09,,4.7,75000,Active
CLI-0044,Apex Enterprises,EdTech,Multi-Year,West,Pune,2020-12-27,3.4,4.3,200000,Active
CLI-0085,OmniSoft Solutions,Healthcare,Monthly SaaS,West,Surat,2021-09-21,3.5,3.5,150000,Churned
CLI-0065,Zenith Infotech,Insurance,Monthly SaaS,West,Ahmedabad,2022-09-27,,2.5,750000,At Risk
CLI-0037,GreenPulse Labs,Insurance,Annual License,West,Ahmedabad,2022-10-01,3.5,2.5,100000,Churned
CLI-0172,InfraMax Group,Banking,Monthly SaaS,North,Delhi,2023-04-24,4.2,1.9,100000,Active
CLI-0112,Apex Systems,Government,Project-Based,North,Chandigarh,2019-05-18,4.1,5.9,300000,Active
CLI-0177,BrightPath Labs,Logistics,Annual License,South,Chennai,2020-07-24,4.5,4.7,75000,Active
CLI-0016,SwiftCode Technologies,Banking,Managed Services,North,Delhi,2024-03-12,3.1,1.1,500000,Active
CLI-0200,CrestLine Services,Healthcare,Managed Services,North,Chandigarh,2023-02-26,2.6,2.1,50000,Active
CLI-0153,DigitalForge Infotech,EdTech,Monthly SaaS,North,Chandigarh,2024-04-03,4.4,1,750000,At Risk
CLI-0292,SilverEdge Solutions,Retail,Managed Services,South,Chennai,2022-07-13,4.7,2.7,100000,Active
CLI-0082,BrightPath Group,Manufacturing,Multi-Year,West,Pune,2023-10-02,4.6,1.5,300000,Active
CLI-0165,Zenith Labs,EdTech,Monthly SaaS,North,Delhi,2019-01-11,3.6,6.2,200000,Active
CLI-0273,SwiftCode Group,Logistics,Annual License,East,Bhubaneswar,2023-12-15,3.3,1.3,300000,Active
CLI-0076,Pinnacle Solutions,Retail,Annual License,East,Bhubaneswar,2022-04-20,2.9,2.9,50000,Active
CLI-0272,Zenith Corp,Government,Annual License,East,Guwahati,2023-06-06,3.4,1.8,300000,Active
CLI-0034,GreenPulse Infotech,Telecom,Managed Services,West,Pune,2020-07-16,4.3,4.7,150000,Active
CLI-0043,SwiftCode Enterprises,Insurance,Project-Based,East,Patna,2023-10-11,4.8,1.5,200000,At Risk
CLI-0284,SilverEdge Infotech,Logistics,Monthly SaaS,East,Bhubaneswar,2022-10-23,4.7,2.4,750000,Active
CLI-0086,DigitalForge Group,Telecom,Annual License,South,Kochi,2022-05-12,,2.9,150000,Active
CLI-0120,BrightPath Services,Manufacturing,Managed Services,West,Mumbai,2021-10-16,3.9,3.5,200000,Active
CLI-0215,SilverEdge Digital,Logistics,Monthly SaaS,South,Chennai,2020-04-29,4.5,4.9,300000,At Risk
CLI-0193,Zenith Technologies,Government,Project-Based,East,Guwahati,2020-10-06,3.1,4.5,75000,Active
CLI-0250,Vertex Technologies,Banking,Annual License,North,Unspecified,2021-06-28,3.9,3.8,750000,Churned
CLI-0191,Apex Corp,Healthcare,Project-Based,South,Kochi,2019-05-26,2.7,5.8,75000,Active
CLI-0051,NetDynamic Digital,Insurance,Monthly SaaS,North,Chandigarh,2020-08-13,4.3,4.6,750000,Active
CLI-0007,Zenith Infotech,Media,Managed Services,East,Guwahati,2024-01-13,3.4,1.2,100000,Active
CLI-0073,DigitalForge Digital,Logistics,Monthly SaaS,North,Jaipur,2020-03-20,4.9,5,300000,Active
CLI-0114,GreenPulse Enterprises,Manufacturing,Managed Services,East,Guwahati,2020-02-14,4.6,5.1,750000,Active
CLI-0169,OmniSoft Systems,Telecom,Monthly SaaS,South,Kochi,2020-10-05,3.5,4.5,300000,Active
CLI-0039,InfraMax Services,Healthcare,Project-Based,North,Delhi,2024-05-03,4.1,0.9,50000,Churned
CLI-0063,SilverEdge Services,Unspecified,Annual License,West,Mumbai,2023-04-07,4.7,2,750000,Active
CLI-0155,CloudNine Corp,Logistics,Annual License,South,Chennai,2019-02-03,4.8,6.2,500000,Active
CLI-0140,GreenPulse Corp,Telecom,Managed Services,North,Jaipur,2022-08-31,3.1,2.6,75000,Active
