Ticket_ID,Client_ID,Product,Issue_Type,Priority,Created_Date,Resolved_Date,Resolution_Hours,SLA_Target_Hours,SLA_Met,Status,Assigned_Agent,Contact_Channel,Customer_Satisfaction
TKT-01100,CLI-0182,DataVault Pro,Access Permission Issue,Low,2024-02-26,2024-02-28,54.6,48,No,Resolved,,Email,4
TKT-02536,CLI-0020,AI Insights Module,Feature Request,Medium,2024-08-16,2024-08-17,25.9,24,No,Resolved,Ananya Joshi,Chat,1
TKT-00220,CLI-0156,AI Insights Module,Feature Request,Medium,2023-10-31,31-10-2023,10.1,24,Yes,Resolved,Rahul Das,Phone,3
TKT-02139,CLI-0222,DevOps Accelerator,Login Issue,Medium,2023-08-11,,,24,Yes,Escalated,Pooja Iyer,Email,
TKT-01110,CLI-0247,CloudShift Platform,Feature Request,Critical,2024-04-12,,,4,Yes,In Progress,Divya Reddy,Chat,
TKT-03054,CLI-0169,CloudShift Platform,Onboarding Support,Critical,2024-01-28,2024-01-28,8.4,4,No,Resolved,Pooja Patel,Portal,3
TKT-00333,CLI-0074,DevOps Accelerator,Security Alert,Low,2025-02-12,2025-02-14,54.5,48,No,Resolved,Pooja Gupta,Chat,3
TKT-01472,CLI-0288,SecureNet Suite,Security Alert,Medium,2024-10-05,,,24,No,Escalated,Manish Nair,Phone,
TKT-01841,CLI-0206,AI Insights Module,API Integration Failure,Medium,2023-06-26,2023-06-26,2.6,24,Yes,Resolved,Priya Nair,Portal,3
TKT-00445,CLI-0230,DevOps Accelerator,Dashboard Bug,High,2023-04-08,,,8,Yes,Open,Divya Reddy,Portal,
TKT-03379,CLI-0033,AnalyticsEdge,Billing Query,Low,2023-01-06,,,48,No,Open,Priya Nair,Portal,
TKT-01818,CLI-0029,DataVault Pro,API Integration Failure,Medium,2023-11-20,2023-11-22,50.4,24,,Resolved,Manish Nair,Portal,3
TKT-00367,CLI-0184,CloudShift Platform,Report Inaccuracy,High,2023-04-13,,,8,No,Open,Neha Gupta,Portal,
