Campaign_ID,Campaign_Name,Channel,Campaign_Type,Start_Date,End_Date,Budget_INR,Impressions,Clicks,MQLs,SQLs,Conversions,CTR_Percent,Cost_Per_Click,Customer_Acquisition_Cost,Target_Region,Target_Industry
CAMP-0116,Q2-2023 SecureNet Suite Retargeting,Google Ads,Retargeting,2023-04-11,2023-06-12,751318,125501,8720,2000,453,158,6.95,86.16,4755.18,North,Telecom
CAMP-0035,Q2-2023 AnalyticsEdge Retargeting,Social Media,Lead Generation,2024-06-27,2024-08-25,931769,404277,28305,3218,614,177,7.0,32.92,5264.23,West,Manufacturing
CAMP-0127,Q4-2023 AnalyticsEdge Product Launch,SEO,Brand Awareness,2023-06-05,2023-07-28,1330883,169252,9199,1321,320,124,5.44,144.68,10732.93,All Regions,EdTech
CAMP-0115,Q4-2024 AI Insights Module Retargeting,Webinar,Brand Awareness,2024-08-25,2024-11-08,1055991,167737,2658,164,24,6,1.58,397.29,175998.5,,Retail
CAMP-0111,Q1-2024 SecureNet Suite Retargeting,Webinar,Lead Generation,2023-11-14,2024-01-05,576586,352957,18568,3933,1690,470,5.26,31.05,1226.78,All Regions,Telecom
CAMP-0123,Q1-2024 CloudShift Platform Event Promotion,LinkedIn,Brand Awareness,2024-01-26,2024-04-23,99142,23806,697,96,16,3,2.93,142.24,33047.33,East,Telecom
CAMP-0086,Q2-2023 AnalyticsEdge Product Launch,SEO,Brand Awareness,2023-10-04,18/12/2023,1296128,325772,9541,1855,438,153,2.93,135.85,8471.42,West,Retail
CAMP-0039,Q3-2025 DevOps Accelerator Event Promotion,Social Media,Lead Generation,2025-01-04,2025-03-30,1268589,152974,10540,2346,955,280,6.89,120.36,4530.68,West,Banking
CAMP-0016,Q3-2023 DevOps Accelerator Brand Awareness,LinkedIn,Retargeting,2024-07-10,2024-08-31,616140,384535,19957,3229,1357,235,5.19,30.87,2621.87,North,All Industries
CAMP-0043,Q4-2025 AI Insights Module Brand Awareness,Content Marketing,Event Promotion,2023-10-16,2023-11-11,1208048,11982,195,24,8,1,1.63,6195.12,1208048.0,All Regions,Healthcare
CAMP-0124,Q2-2025 SecureNet Suite Brand Awareness,Social Media,Event Promotion,2024-08-01,2024-08-26,1362761,48086,2575,481,145,51,5.35,529.23,26720.8,All Regions,Government
CAMP-0053,Q2-2025 AI Insights Module Product Launch,Google Ads,Lead Generation,2024-03-01,2024-03-24,487709,284841,10450,1086,426,97,3.67,46.67,5027.93,West,All Industries
CAMP-0018,Q2-2023 SecureNet Suite Event Promotion,LinkedIn,Lead Generation,2024-06-07,2024-06-24,1450372,301192,20113,3277,1347,343,6.68,72.11,4228.49,East,Retail
CAMP-0008,Q3-2023 AI Insights Module Retargeting,Email,Retargeting,2024-06-09,2024-06-26,1120643,289309,23081,4593,775,194,7.98,48.55,5776.51,South,Healthcare
CAMP-0150,Q3-2023 AnalyticsEdge Brand Awareness,SEO,Retargeting,2024-01-05,2024-01-24,244034,384010,12175,1873,705,127,3.17,20.04,1921.53,,Banking
CAMP-0024,Q4-2025 AI Insights Module Product Launch,Content Marketing,Product Launch,2024-03-21,2024-05-15,986794,400131,23524,3710,659,210,5.88,41.95,4699.02,East,
CAMP-0060,Q3-2023 AnalyticsEdge Product Launch,Social Media,Brand Awareness,2024-11-18,2024-12-30,1299836,,22342,3206,942,123,5.55,58.18,10567.77,North,Healthcare
CAMP-0105,Q4-2023 AnalyticsEdge Event Promotion,Webinar,Retargeting,2024-09-10,2024-11-29,1095970,269329,15203,1256,615,96,5.64,72.09,11416.35,All Regions,Manufacturing
CAMP-0113,Q2-2024 CloudShift Platform Lead Generation,Google Ads,Brand Awareness,2023-04-02,2023-06-23,961343,247466,4736,254,69,9,1.91,202.99,106815.89,East,EdTech
CAMP-0133,Q4-2025 DataVault Pro Retargeting,Google Ads,Event Promotion,03/03/2023,2023-05-03,788323,292324,5644,1045,309,100,1.93,139.67,7883.23,North,Insurance
CAMP-0142,Q2-2023 DevOps Accelerator Retargeting,Social Media,Product Launch,2025-02-28,2025-05-01,1125028,385374,25086,2140,736,196,6.51,44.85,5739.94,North,Media
CAMP-0121,Q4-2023 AI Insights Module Lead Generation,LinkedIn,Product Launch,2024-01-27,2024-04-07,1144467,44673,1313,206,96,14,2.94,871.64,81747.64,East,Logistics
CAMP-0076,Q3-2025 SecureNet Suite Event Promotion,Content Marketing,Product Launch,2024-03-06,2024-05-29,296081,203021,2481,393,102,13,1.22,119.34,22775.46,East,Manufacturing
CAMP-0062,Q1-2024 AnalyticsEdge Retargeting,Email,Lead Generation,2024-09-10,2024-10-14,420937,300053,18957,2082,941,167,6.32,22.2,2520.58,North,Government
CAMP-0099,Q2-2025 DevOps Accelerator Brand Awareness,Content Marketing,Lead Generation,2024-07-30,2024-08-14,909983,246287,13286,2769,1258,134,5.39,68.49,6790.92,All Regions,Media
CAMP-0077,Q4-2024 DataVault Pro Brand Awareness,Google Ads,Brand Awareness,2023-07-23,07/08/2023,639700,91607,,562,244,75,6.67,104.65,8529.33,All Regions,Manufacturing
CAMP-0054,Q1-2024 AnalyticsEdge Lead Generation,LinkedIn,Event Promotion,2024-12-29,2025-01-15,118248,168771,5692,378,98,16,3.37,20.77,7390.5,North,Government
CAMP-0112,Q2-2025 SecureNet Suite Brand Awareness,Content Marketing,Lead Generation,11/08/2024,2024-09-12,1084235,244228,18533,1202,329,117,7.59,58.5,9266.97,South,Logistics
CAMP-0032,Q2-2025 AnalyticsEdge Product Launch,LinkedIn,Product Launch,2023-11-03,2024-01-23,1256395,170300,1941,98,37,7,1.14,647.29,179485.0,All Regions,Logistics
CAMP-0042,Q4-2025 CloudShift Platform Retargeting,Email,Brand Awareness,2023-02-24,2023-05-10,1454862,34159,392,24,5,1,1.15,3711.38,1454862.0,East,
CAMP-0080,Q3-2024 AnalyticsEdge Lead Generation,Social Media,Product Launch,2023-04-12,2023-07-02,880836,82670,1430,232,88,31,1.73,615.97,28414.06,West,Logistics
CAMP-0084,Q1-2024 AI Insights Module Retargeting,SEO,Product Launch,2023-02-27,2023-04-22,1392111,327634,23553,3422,1332,222,7.19,59.11,6270.77,North,
CAMP-0089,Q1-2024 AI Insights Module Lead Generation,LinkedIn,Product Launch,2023-09-24,2023-10-21,527447,280933,6027,1165,553,147,2.15,87.51,3588.07,All Regions,Manufacturing
CAMP-0146,Q1-2025 SecureNet Suite Lead Generation,LinkedIn,Product Launch,2024-02-02,2024-04-05,222732,463669,27503,5863,953,228,5.93,8.1,976.89,South,
